property_id,title,url,address,address_2,property_status,primary price,agent,agent_address,agent_phone,agent_url,date_added,property_type,beds,baths,key_features,description,property_size,epc_rating,key_info
result-13680109,1 bedroom in a house share to rent,https://www.onthemarket.com/details/13680109/,"Broomcroft Avenue, Northolt UB5","Broomcroft Avenue, Northolt UB5",1 bedroom in a house share to rent,£800 pcm (£185 pw),Home World Management - London,"
                         142 Bentworth Road
 London
W12 7AH
                        
                      ", 020 3641 9902,https://homeworldmanagement.co.uk/,Added today,House share,1 bed,2 bath,,"One lavish Double Room in the shared property is available to rentThe postcode of the property is UB5
The rent of this property is £850 PCM
Couple is also allowed.
Rent for Couple £900
One month's rent is required as a deposit
Bills are included in this rent
There is internet access
Well furnished property
Off-street parking is available
Central heating and double-glazing
Near the Tube station, Bus station, and Local shops
Ad Ref: 1116",,,"['Council tax:\xa0', 'Broadband:\xa0', 'Ultra-fast 1000Mbps *', 'Mobile signal:\xa0', 'EE ', 'O2 ', 'Three ', 'Vodafone ']"
result-13680086,2 bedroom flat to rent,https://www.onthemarket.com/details/13680086/,St Joseph's Vale,St Joseph's Vale,2 bedroom flat to rent,"£1,700 pcm (£392 pw)",Felicity J. Lord - Blackheath Village,"
                         23 Tranquil Vale
Blackheath
SE3 0BU
                        
                      ", 020 8022 6846,http://www.fjlord.co.uk,Added yesterday,Flat,2 bed,0 bath,"['Two Double Bedrooms', 'Separate Kitchen', 'Two Parking Spaces', 'Communal Garden', 'Walking Distance to Transport Links', 'Furnished']","A well-proportioned two bedroom apartment found on the first floor of this small residential block set in this prestigious development within a short walk of Blackheath Village.The apartment is in good decorative order and comprises a spacious and bright living room and modern separate kitchen, two bedrooms and a family bathroom. Additional benefits include two off street parking spaces and communal garden.The property is located in the popular St Joseph's Vale development which is just a short walk from Blackheath Village and both Blackheath and Lewisham Stations.Offered furnished and available from 10th September 2023, your earliest viewing is essential.This property is available with a Deposit Free option which means that instead of paying a traditional five weeks security deposit, you pay a fee of one weeks rent + VAT to become a member of a deposit free renting scheme which significantly reduces the up-front costs. This fee is non-refundable and is not a deposit so cannot be used towards covering the cost of any future damage.",,,"['Council tax:\xa0', 'Broadband:\xa0', 'Super-fast 80Mbps *', 'Mobile signal:\xa0', 'EE ', 'O2 ', 'Three ', 'Vodafone ']"
result-13680065,1 bedroom in a flat share to rent,https://www.onthemarket.com/details/13680065/,"Finchley Road, London NW2","Finchley Road, London NW2",1 bedroom in a flat share to rent,£800 pcm (£185 pw),Home World Management - London,"
                         142 Bentworth Road
 London
W12 7AH
                        
                      ", 020 3641 9902,https://homeworldmanagement.co.uk/,Added yesterday,Flat share,1 bed,1 bath,,"One lavish Double Room in the shared Flat is available to rent
The postcode of the property is NW2
The rent of this property is £800 PCM
Rent for Couple £900
One month's rent is required as a deposit
Bills are included in this rent
There is internet access
Well furnished property
Off-street parking is available
Central heating and double-glazing
Near the Tube station, Bus station, and Local shops
Ad Ref: 1174










",,,"['Council tax:\xa0', 'Mobile signal:\xa0', 'EE ', 'O2 ', 'Three ', 'Vodafone ']"
result-13680063,1 bedroom in a flat share to rent,https://www.onthemarket.com/details/13680063/,"Denmark Road, London NW6","Denmark Road, London NW6",1 bedroom in a flat share to rent,£600 pcm (£138 pw),Home World Management - London,"
                         142 Bentworth Road
 London
W12 7AH
                        
                      ", 020 3641 9902,https://homeworldmanagement.co.uk/,Added yesterday,Flat share,1 bed,1 bath,,"One lavish Double Room in the shared property is available to rent
•	The postcode of the property is NW6 5BX
•	The rent of this property is £600 PCM & £700PCM for Couples
•	One month's rent is required as a deposit
•	Bills are included in this rent
•	There is internet access
•	Well furnished property
•	Off-street parking is available
•	Central heating and double-glazing
•	Near the Tube station, Bus station, and Local shops
•	Ad Ref: 1236.
",,,"['Council tax:\xa0', 'Broadband:\xa0', 'Ultra-fast 1000Mbps *', 'Mobile signal:\xa0', 'EE ', 'O2 ', 'Three ', 'Vodafone ']"
result-13680058,1 bedroom in a house share to rent,https://www.onthemarket.com/details/13680058/,"Scotts Lane, Bromley BR2","Scotts Lane, Bromley BR2",1 bedroom in a house share to rent,"£1,000 pcm (£231 pw)",Home World Management - London,"
                         142 Bentworth Road
 London
W12 7AH
                        
                      ", 020 3641 9902,https://homeworldmanagement.co.uk/,Added yesterday,House share,1 bed,4 bath,,"
The Postcode is BR2 0LH
The rent of the room is 1000£ for a couple
5 Week's deposit is required
It's a Shared Accommodation
Well-furnished property
Neat, Clean Kitchen and bathroom on a sharing-based
All Bills are included in this Rent
Near Tube Station, Bus Sation, and Local Markets
Central Heating & Double Glazing
Quite Surrounding Area
Ad Ref:1166









",,,['Council tax:\xa0']
result-13680042,1 bedroom in a flat share to rent,https://www.onthemarket.com/details/13680042/,"Finchley Road, London NW2","Finchley Road, London NW2",1 bedroom in a flat share to rent,"£1,200 pcm (£277 pw)",Home World Management - London,"
                         142 Bentworth Road
 London
W12 7AH
                        
                      ", 020 3641 9902,https://homeworldmanagement.co.uk/,Added yesterday,Flat share,1 bed,1 bath,,"One lavish Master Double Room in the shared Flat is available to rent
The postcode of the property is NW2The rent of this property is £1200 PCMRent for Couple with child £1300One month's rent is required as a deposit
Bills are included in this rent
There is internet access
Well furnished property
Off-street parking is available
Central heating and double-glazing
Near the Tube station, Bus station, and Local shops
Ad Ref: 1173











",,,"['Council tax:\xa0', 'Mobile signal:\xa0', 'EE ', 'O2 ', 'Three ', 'Vodafone ']"
result-13680028,1 bedroom in a house share to rent,https://www.onthemarket.com/details/13680028/,"Blithbury Road, Dagenham RM9","Blithbury Road, Dagenham RM9",1 bedroom in a house share to rent,£600 pcm (£138 pw),Home World Management - London,"
                         142 Bentworth Road
 London
W12 7AH
                        
                      ", 020 3641 9902,https://homeworldmanagement.co.uk/,Added yesterday,House share,1 bed,1 bath,,"One lavish Double Room in the shared property is available to rent
Note: Only One Female Tenant Required
The postcode of the property is RM9 4PX
The rent of this property is £600 PCM
One month's rent is required as a deposit
Bills are included in this rent
There is internet access
Well furnished property
Off-street parking is available
Central heating and double-glazing
Near the Tube station, Bus station, and Local shops
Ad Ref: 1226.

",,,"['Council tax:\xa0', 'Broadband:\xa0', 'Ultra-fast 1000Mbps *']"
result-13680021,1 bedroom in a house share to rent,https://www.onthemarket.com/details/13680021/,"Scotts Lane, Bromley BR2","Scotts Lane, Bromley BR2",1 bedroom in a house share to rent,"£1,000 pcm (£231 pw)",Home World Management - London,"
                         142 Bentworth Road
 London
W12 7AH
                        
                      ", 020 3641 9902,https://homeworldmanagement.co.uk/,Added today,House share,1 bed,4 bath,,"Property Details and Features
One Beautiful Double Room is Available
The Postcode is BR2 0LH
The rent of the room is 1000£ for a couple
5 Week's deposit is required
It's a Shared Accommodation
Well-furnished property
Neat, Clean Kitchen and bathroom on a sharing-based
All Bills are included in this Rent
Near Tube Station, Bus Sation, and Local Markets
Central Heating & Double Glazing
Quite Surrounding Area
Ad Ref:1197











",,,['Council tax:\xa0']
result-13679968,1 bedroom in a house share to rent,https://www.onthemarket.com/details/13679968/,"St. Marys Lane, Upminster RM14","St. Marys Lane, Upminster RM14",1 bedroom in a house share to rent,£750 pcm (£173 pw),Home World Management - London,"
                         142 Bentworth Road
 London
W12 7AH
                        
                      ", 020 3641 9902,https://homeworldmanagement.co.uk/,Added yesterday,House share,1 bed,1 bath,,"Property description & features
The rent for the property is £750
It's a shared accommodation
Office Based Professional Required for this Property
One Person is allowed for this property
The deposit will be £850
Minimum Tenancy will be from 3 to 6 months (Extended Option is there)
The kitchen and Bathroom are on a shared basis
1 Person Landlord himself already living in the property
Bills are Included in the Rent
Near to Local Shops, Bus Station
It's a Well Furnished Property
Quiet Surroundings
Ad Ref: 1222











",,,"['Council tax:\xa0', 'Mobile signal:\xa0', 'EE ', 'O2 ', 'Three ', 'Vodafone ']"
result-13679944,1 bedroom in a house share to rent,https://www.onthemarket.com/details/13679944/,"Northumberland Road, London E17","Northumberland Road, London E17",1 bedroom in a house share to rent,£800 pcm (£185 pw),Home World Management - London,"
                         142 Bentworth Road
 London
W12 7AH
                        
                      ", 020 3641 9902,https://homeworldmanagement.co.uk/,Added yesterday,House share,1 bed,1 bath,,"Large master room Available To Rent In Shared House
The postcode of the property is E17 8JE
room rent is £800 PCM
Bathroom and kitchen on shared
One month's rent is required as a deposit
Bills are included in this rent
There is internet access
Well Furnished property
Off-street parking is available
Central heating and double-glazing
Near the Tube station, Bus station and Local shop",,,['Council tax:\xa0']
result-13679891,1 bedroom in a house share to rent,https://www.onthemarket.com/details/13679891/,"Southmere Drive, London SE2","Southmere Drive, London SE2",1 bedroom in a house share to rent,£800 pcm (£185 pw),Home World Management - London,"
                         142 Bentworth Road
 London
W12 7AH
                        
                      ", 020 3641 9902,https://homeworldmanagement.co.uk/,Added yesterday,House share,1 bed,1 bath,,"
Property DetailsOne Beautiful Room is Available at SE2
One Female Professional is allowed in this Property
The Rent of the Room is £800
The Deposit will be One month's rent
It's a Shared Accommodation
There is Internet Access in the Market
It's a Well Furnished Property
It's Near to the Bus station and Local Shops
Quite Surroundings
Ad Ref: 1126
 









",,,"['Council tax:\xa0', 'Broadband:\xa0', 'Super-fast 80Mbps *', 'Mobile signal:\xa0', 'EE ', 'O2 ', 'Three ', 'Vodafone ']"
result-13675063,2 bedroom apartment to rent,https://www.onthemarket.com/details/13675063/,"Newfoundland Place, London, E14","Newfoundland Place, London, E14",2 bedroom apartment to rent,"£3,943 pcm (£910 pw)",Savills - New Homes Lettings,"
                         London
W1G
                        
                      ", 020 8033 4071,http://www.savills.co.uk/,Recently added,Apartment,2 bed,2 bath,"['Full height windows', 'Dry gym, interactive gym studio', 'High speed broadband, TV/License included', 'Waterside Location', 'Residents Lounge', 'Games room', 'Children’s play area', 'Terrace', '24/7 Concierge', 'EPC Rating = B']","849 sq ft,11th floor, two bed two bath apartment in Newfoundland Place which offers private resident amenities including a gym, residents lounge, games room, private dining room and terrace.
DescriptionNewfoundland is a striking new addition to Canary Wharf’s celebrated skyline.   Comprising 636 apartments arranged over a 58 storey tower, full height windows wrap around each apartment’s living space, maximizing views across the capital.  Choose an east- facing aspect looking out over Canary Wharf or turn west for dramatic views of the Thames and the City.   13,000 sq. ft. of exceptional internal and external amenity space, Newfoundland is home to more than just your apartment providing residents with exclusive access to private resident amenities including; A dry gym, interactive gym studio and personal training studio, residents lounge, self-service bar, games room, private dining room, terrace, screening room and children’s play area.High speed broadband, TV/License included, other benefits include a bicycle store, combined utilities, 24/7 concierge and on site management.  Studios, one, two and three bedroom apartments available to reserve.*Images for illustrative purposes*LocationOne of the safest and most secure estate in London with superb connectivity and so much more than a financial centre with 5 shopping malls, an array of fine restaurants, bars and a programme of arts and events.   Newfoundland is served by nearby excellent transport connections, with Canary Wharf station located a short walk away, offering services into central London in under 20 minutes. There are also convenient connections to London City Airport.Square Footage: 849 sq ft

Additional InfoHolding Deposit: £790.00 (1 week) Deposit Payable: £3,950.00 (5 weeks) Minimum Term: 12 months Please note that Savills is working alongside the developer, Vertus and any enquiries you make in respect of the development will be shared directly with Vertus including your name and contact details.  Savills or Vertus may contact you to follow up on your enquiry. Savills complies with all its obligations under data protection legislation. Our privacy policy explains how we use the information we collect about you, how you can tell us if you prefer to limit the use of that information and procedures we have in place to safeguard your privacy. See savills.co.uk/privacynotice. Once Vertus hold your personal data, they must comply with their own obligations under data protection legislation. See Vertus privacy notice Please note that all images, floorplans and included are for illustrative and indicative purposes only. Individual features and layout may vary. Prospective tenants must satisfy themselves by inspection or otherwise as to the correctness of the property.",,,"['Council tax:\xa0', 'Band G']"
result-2289006,2 bedroom flat to rent,https://www.onthemarket.com/details/2289006/,"Academy Way, Dagenham, RM8","Academy Way, Dagenham, RM8",2 bedroom flat to rent,"£1,700 pcm (£392 pw)",haart Estate Agents - Dagenham,"
                         1-3a Reede Road
Dagenham
RM10 8DP
                        
                      ", 020 8022 6686,https://www.haart.co.uk,Added yesterday,Flat,2 bed,2 bath,"['Modern Apartment', 'Two Double Bedrooms', 'Large Kitchen/Living Area', 'Corner Balcony', 'Family Bathroom', 'En-suite Shower in Master Bedroom', 'Fully Furnished']","Fantastic two double bedroom, modern apartment situated in the popular Academy Way development on the first floor. Property consists of two double bedrooms with built in wardrobes, the master bedroom benefiting an en-suit shower room and separate family bathroom. Great size open plan kitchen/living area and a good size L shaped balcony. Offered furnished and allocated parking bay available. This property is available with a Deposit Free option which means that instead of paying a traditional five weeks security deposit, you pay a fee of one weeks rent + VAT to become a member of a deposit free renting scheme which significantly reduces the up-front costs. This fee is non-refundable and is not a deposit so cannot be used towards covering the cost of any future damage.",839 sq ft / 78 sq m,EPC rating: C*,"['Council tax:\xa0', 'Band C', 'Broadband:\xa0', 'Ultra-fast 1000Mbps *', 'Mobile signal:\xa0', 'EE ', 'O2 ', 'Three ', 'Vodafone ']"
result-676931,1 bedroom flat to rent,https://www.onthemarket.com/details/676931/,"Westbourne Park Road, Notting Hill","Westbourne Park Road, Notting Hill",1 bedroom flat to rent,"£1,950 pcm (£450 pw)",KLEIN - West London,"
                         Unit 12, 18 All Saints Road
London
W11 1HH
                        
                      ", 020 8022 7413,http://www.mklein.co.uk,Added yesterday,Flat,1 bed,1 bath,,"This unique property has a stunning open-plan living room and kitchen area features attractive wooden flooring throughout and a stylish breakfast bar. The kitchen features a granite worktop and all relevant appliances. The flat has an internal staircase, one double bedroom with good storage and one bathroom. A loft with ample storage space can be accessed via the bathroom.The flat has a great view overlooking St Lukes Road and is close to all the amenities of Portobello Road with its famous market and Notting Hill. It is only a 12 minutes walk away from Notting Hill Gate Tube station. There is easy access to public transport links and motorways to Heathrow and the west. The flat is part-furnished",559 sq ft / 52 sq m,EPC rating: D*,"['Council tax:\xa0', 'Band D', 'Broadband:\xa0', 'Ultra-fast 1000Mbps *', 'Mobile signal:\xa0', 'EE ', 'O2 ', 'Three ', 'Vodafone ']"
